"[ 3.0701956e-01 -5.9486504e-12  4.8526955e-01  1.0000000e+00
  1.9908170e-04 -6.8186216e-16  3.4637367e-12  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00]"
"[ 3.3455983e-01 -9.3074441e-03  4.8735979e-01  9.9989074e-01
  3.3916492e-04  1.4777021e-02  8.4360065e-05  8.3229625e-01
 -9.9556752e-02 -5.9336257e-01  1.7967381e-02]"
"[ 3.5868934e-01  4.1480963e-03  4.8882461e-01  9.9829346e-01
 -1.2387115e-03 -5.8346473e-02  2.0783825e-03  1.5266781e+00
  2.3545094e-01  4.4671771e-01  2.3510993e-02]"
"[ 3.8784644e-01 -1.4534417e-03  4.9175683e-01  9.9949718e-01
  2.7551263e-04 -3.1706940e-02  1.4589651e-04  7.0405193e-02
 -8.0462150e-02  1.3024662e-01  7.1977347e-02]"
"[ 3.7328818e-01 -1.2459090e-02  5.0894219e-01  9.9946159e-01
  3.7780410e-04 -3.2808352e-02  3.1003663e-05 -4.2132917e-01
 -1.0042565e-01  7.4950379e-01  7.9024635e-02]"
"[ 3.4247476e-01 -1.9391531e-02  5.4646724e-01  9.9997371e-01
  1.2290280e-04 -7.2502401e-03  3.5089728e-05 -5.7193851e-01
 -5.0817903e-02  7.7047461e-01  5.5387035e-02]"
"[ 0.30646703 -0.03803027  0.583922    0.999992    0.00153603  0.00349903
  0.00114624 -0.47338766 -0.2230198   0.55814946  0.00788652]"
"[ 2.8184620e-01 -5.9405517e-02  6.1285609e-01  9.9999845e-01
  1.4506362e-03 -5.8845931e-04  7.6866627e-04 -1.7736053e-01
 -2.3283240e-01  2.9709959e-01  9.5881923e-04]"
